Created as New Dataset,Sample 001 By Laboratory Date 16 10 2025
cm-1,A
3684.00,0.0851
3683.00,0.0851
3682.00,0.0853
3681.00,0.0856
3680.00,0.0858
3679.00,0.0859
3678.00,0.0862
3677.00,0.0866
3676.00,0.0872
3675.00,0.0875
3674.00,0.0878
3673.00,0.0884
3672.00,0.0893
3671.00,0.0899
3670.00,0.0905
3669.00,0.0913
3668.00,0.0923
3667.00,0.0935
3666.00,0.0945
3665.00,0.0954
3664.00,0.0963
3663.00,0.0973
3662.00,0.0983
3661.00,0.0992
3660.00,0.1001
3659.00,0.1010
3658.00,0.1020
3657.00,0.1030
3656.00,0.1039
3655.00,0.1046
3654.00,0.1052
3653.00,0.1059
3652.00,0.1064
3651.00,0.1071
3650.00,0.1078
3649.00,0.1085
3648.00,0.1090
3647.00,0.1093
3646.00,0.1095
3645.00,0.1098
3644.00,0.1101
3643.00,0.1104
3642.00,0.1105
3641.00,0.1106
3640.00,0.1107
3639.00,0.1108
3638.00,0.1106
3637.00,0.1103
3636.00,0.1100
3635.00,0.1097
3634.00,0.1093
3633.00,0.1088
3632.00,0.1084
3631.00,0.1080
3630.00,0.1076
3629.00,0.1068
3628.00,0.1059
3627.00,0.1052
3626.00,0.1049
3625.00,0.1045
3624.00,0.1039
3623.00,0.1032
3622.00,0.1028
3621.00,0.1026
3620.00,0.1020
3619.00,0.1013
3618.00,0.1007
3617.00,0.1001
3616.00,0.0996
3615.00,0.0991
3614.00,0.0985
3613.00,0.0981
3612.00,0.0978
3611.00,0.0974
3610.00,0.0969
3609.00,0.0964
3608.00,0.0959
3607.00,0.0957
3606.00,0.0956
3605.00,0.0956
3604.00,0.0955
3603.00,0.0954
3602.00,0.0955
3601.00,0.0956
3600.00,0.0959
3599.00,0.0961
3598.00,0.0963
3597.00,0.0965
3596.00,0.0969
3595.00,0.0975
3594.00,0.0981
3593.00,0.0989
3592.00,0.0999
3591.00,0.1009
3590.00,0.1020
3589.00,0.1031
3588.00,0.1044
3587.00,0.1057
3586.00,0.1072
3585.00,0.1087
3584.00,0.1104
3583.00,0.1121
3582.00,0.1139
3581.00,0.1158
3580.00,0.1178
3579.00,0.1198
3578.00,0.1218
3577.00,0.1239
3576.00,0.1261
3575.00,0.1283
3574.00,0.1305
3573.00,0.1327
3572.00,0.1348
3571.00,0.1367
3570.00,0.1386
3569.00,0.1406
3568.00,0.1427
3567.00,0.1448
3566.00,0.1469
3565.00,0.1488
3564.00,0.1505
3563.00,0.1522
3562.00,0.1537
3561.00,0.1552
3560.00,0.1568
3559.00,0.1583
3558.00,0.1596
3557.00,0.1608
3556.00,0.1617
3555.00,0.1625
3554.00,0.1631
3553.00,0.1637
3552.00,0.1642
3551.00,0.1646
3550.00,0.1649
3549.00,0.1651
3548.00,0.1653
3547.00,0.1655
3546.00,0.1655
3545.00,0.1655
3544.00,0.1655
3543.00,0.1655
3542.00,0.1654
3541.00,0.1654
3540.00,0.1653
3539.00,0.1652
3538.00,0.1650
3537.00,0.1646
